time,open,high,low,close,vol,amt,oi,code
2020-02-06,22341.236290226538,22787.094095489534,22217.685332141613,22636.6842334731,12013.0,1259563050.0,7777.0,CY2005
2020-02-07,22609.825329541596,22706.517383695016,22561.479302464886,22647.427795045704,5259.0,553641225.0,7968.0,CY2005
2020-02-10,22604.453548755293,22679.658479763508,22561.479302464886,22658.171356618303,7137.0,752061375.0,8477.0,CY2005
2020-02-11,22658.171356618303,22808.58121863474,22647.427795045704,22728.00450684022,7019.0,743312100.0,8595.0,CY2005
2020-02-12,22754.863410771726,22797.837657062137,22448.671905952557,22711.88916448132,8142.0,856334850.0,8649.0,CY2005
2020-02-13,22797.837657062137,22985.849984582674,22582.966425610088,22674.286698977212,8524.0,899708200.0,8675.0,CY2005
2020-02-14,22668.91491819091,22668.91491819091,22427.18478280736,22491.646152242967,9151.0,959482350.0,8784.0,CY2005
2020-02-17,22497.01793302927,23377.989981982664,22497.01793302927,23222.208339179928,19882.0,2127871050.0,9940.0,CY2005
2020-02-18,23044.93957323199,23098.657381095,22701.145602908713,22830.06834177994,15127.0,1607621925.0,9445.0,CY2005
2020-02-19,22830.06834177994,23001.96532694158,22830.06834177994,22926.76039593336,9005.0,960608375.0,9576.0,CY2005
2020-02-20,23044.93957323199,23044.93957323199,22856.92724571145,22932.132176719664,8419.0,899149200.0,9308.0,CY2005
2020-02-21,22926.76039593336,22991.221765368977,22840.811903352544,22862.29902649775,10533.0,1123607775.0,9350.0,CY2005
2020-02-24,22835.440122566244,22856.92724571145,22255.28779764572,22593.70998718269,14428.0,1514579300.0,9517.0,CY2005
2020-02-25,22539.99217931968,22701.145602908713,22368.095194158042,22668.91491819091,14528.0,1523260800.0,9446.0,CY2005
2020-02-26,22518.505056174476,22588.33820639639,22411.06944044845,22421.813002021056,8838.0,926664300.0,9251.0,CY2005
2020-02-27,22346.608071012837,22421.813002021056,22228.428893714212,22244.544236073114,11312.0,1174185600.0,9327.0,CY2005
2020-02-28,21911.493827322447,22035.04478540737,21503.238487563554,21712.7379382293,18021.0,1830933600.0,9629.0,CY2005
2020-03-02,21809.42999238272,22223.05711292791,21707.366157442997,22153.223962705997,16889.0,1729855825.0,9799.0,CY2005
2020-03-03,22260.659578432016,22765.60697234433,22260.659578432016,22351.97985179914,16981.0,1772816400.0,9700.0,CY2005
2020-03-04,22169.3393050649,22314.377386295033,22158.5957434923,22309.00560550873,14515.0,1503028250.0,9282.0,CY2005
2020-03-05,22239.17245528681,22744.119849199124,22239.17245528681,22593.70998718269,15489.0,1625183325.0,9028.0,CY2005
2020-03-06,22529.248617747075,22577.59464482379,22292.890263149828,22378.838755730645,10495.0,1094628500.0,8832.0,CY2005
2020-03-09,21701.9943766567,22056.531908552573,21567.69985699917,21793.314650023818,9929.0,1008786400.0,8849.0,CY2005
2020-03-10,21890.00670417724,22196.198208996408,21873.891361818336,22126.36505877449,10822.0,1110337200.0,8907.0,CY2005
2020-03-11,22115.62149720189,22201.569989782703,21890.00670417724,21911.493827322447,9150.0,939705000.0,8874.0,CY2005
2020-03-12,21884.63492339094,21954.46807361285,21578.443418571773,21718.109719015603,12770.0,1291047000.0,8749.0,CY2005
2020-03-13,21417.289994982737,21497.86670677725,20923.08616264303,21116.47027094987,14149.0,1393676500.0,8303.0,CY2005
2020-03-16,21089.611367018366,21154.072736453978,20772.676300626594,20772.676300626594,10429.0,1019434750.0,8370.0,CY2005
2020-03-17,20767.304519840298,20955.31684736084,20740.44561590879,20804.906985344405,8088.0,784333800.0,8312.0,CY2005
2020-03-18,20713.58671197728,21014.40643601015,20552.43328838825,20670.612465686878,7911.0,767960325.0,8110.0,CY2005
2020-03-19,20611.52287703756,20675.984246473174,20020.626990544435,20020.626990544435,2386.0,224462950.0,8175.0,CY2005
